iter	Passed	Remaining
0	145	145369
1	148	74106
2	152	50667
3	155	38742
4	159	31766
5	162	26957
6	166	23651
7	170	21090
8	173	19139
9	177	17574
10	180	16257
11	185	15242
12	188	14305
13	192	13576
14	196	12897
15	200	12315
16	204	11815
17	207	11317
18	211	10934
19	215	10548
20	220	10268
21	224	9969
22	227	9657
23	231	9414
24	234	9158
25	238	8947
26	242	8732
27	246	8552
28	249	8358
29	253	8193
30	257	8037
31	260	7877
32	264	7751
33	267	7605
34	272	7505
35	275	7371
36	283	7371
37	287	7277
38	291	7178
39	295	7081
40	298	6974
41	302	6890
42	305	6806
43	309	6721
44	313	6661
45	317	6579
46	321	6521
47	324	6443
48	328	6378
49	331	6304
50	335	6248
51	339	6191
52	343	6133
53	347	6084
54	350	6026
55	354	5979
56	358	5922
57	361	5876
58	365	5835
59	369	5784
60	373	5750
61	376	5701
62	381	5667
63	384	5624
64	388	5586
65	392	5556
66	395	5512
67	400	5492
68	404	5457
69	408	5425
70	412	5391
71	415	5358
72	419	5327
73	422	5288
74	427	5269
75	430	5233
76	435	5214
77	438	5187
78	441	5151
79	445	5125
80	448	5092
81	453	5072
82	456	5039
83	460	5024
84	463	4993
85	468	4976
86	472	4954
87	475	4928
88	479	4909
89	482	4881
90	487	4874
91	492	4863
92	495	4836
93	500	4821
94	503	4794
95	507	4778
96	510	4755
97	514	4734
98	517	4709
99	521	4689
100	524	4672
101	528	4650
102	532	4641
103	536	4619
104	540	4608
105	544	4588
106	548	4573
107	551	4556
108	554	4535
109	557	4513
110	561	4497
111	565	4479
112	567	4458
113	571	4443
114	575	4427
115	579	4415
116	582	4396
117	586	4386
118	589	4364
119	593	4350
120	596	4332
121	600	4319
122	603	4299
123	606	4287
124	609	4268
125	613	4255
126	616	4238
127	620	4226
128	623	4210
129	627	4196
130	630	4180
131	633	4167
132	636	4150
133	639	4135
134	642	4118
135	646	4107
136	649	4092
137	653	4079
138	656	4064
139	659	4052
140	662	4035
141	665	4023
142	668	4005
143	669	3982
144	673	3970
145	676	3955
146	679	3943
147	682	3931
148	686	3918
149	689	3904
150	693	3898
151	696	3885
152	699	3872
153	702	3858
154	706	3852
155	710	3841
156	712	3828
157	716	3816
158	719	3804
159	722	3792
160	725	3782
161	728	3770
162	732	3761
163	735	3750
164	739	3740
165	742	3728
166	745	3719
167	748	3709
168	752	3701
169	755	3690
170	759	3680
171	762	3668
172	765	3660
173	768	3650
174	772	3640
175	775	3631
176	778	3620
177	781	3609
178	785	3601
179	787	3588
180	791	3580
181	794	3569
182	797	3562
183	800	3550
184	804	3543
185	806	3531
186	811	3526
187	813	3515
188	817	3509
189	820	3497
190	824	3490
191	830	3493
192	833	3484
193	837	3479
194	841	3473
195	845	3467
196	849	3462
197	852	3453
198	856	3447
199	859	3438
200	863	3433
201	867	3425
202	871	3420
203	875	3414
204	878	3406
205	882	3401
206	886	3394
207	890	3391
208	893	3382
209	897	3377
210	901	3369
211	904	3361
212	907	3354
213	911	3346
214	915	3342
215	918	3332
216	922	3327
217	925	3318
218	929	3313
219	932	3305
220	936	3300
221	939	3291
222	943	3286
223	946	3277
224	949	3270
225	952	3261
226	955	3255
227	958	3246
228	962	3241
229	965	3232
230	969	3227
231	972	3219
232	976	3213
233	978	3204
234	982	3199
235	985	3191
236	990	3187
237	995	3186
238	998	3177
239	1001	3172
240	1004	3164
241	1008	3159
242	1011	3151
243	1015	3146
244	1018	3139
245	1022	3133
246	1025	3126
247	1029	3121
248	1032	3113
249	1036	3108
250	1039	3100
251	1042	3095
252	1045	3087
253	1049	3082
254	1052	3073
255	1058	3076
256	1062	3072
257	1065	3064
258	1069	3058
259	1071	3050
260	1075	3046
261	1078	3038
262	1082	3033
263	1085	3025
264	1089	3021
265	1092	3015
266	1096	3009
267	1099	3002
268	1102	2996
269	1105	2989
270	1108	2983
271	1111	2975
272	1115	2969
273	1118	2962
274	1122	2958
275	1125	2952
276	1129	2947
277	1132	2940
278	1135	2934
279	1138	2927
280	1141	2921
281	1144	2914
282	1148	2910
283	1151	2902
284	1162	2917
285	1167	2913
286	1169	2906
287	1173	2901
288	1176	2893
289	1179	2886
290	1182	2879
291	1184	2873
292	1188	2867
293	1191	2860
294	1195	2856
295	1197	2849
296	1201	2844
297	1204	2837
298	1208	2833
299	1211	2826
300	1214	2821
301	1217	2814
302	1221	2809
303	1224	2802
304	1227	2798
305	1230	2791
306	1234	2787
307	1237	2780
308	1241	2775
309	1244	2768
310	1247	2764
311	1250	2758
312	1255	2754
313	1257	2747
314	1261	2742
315	1264	2737
316	1267	2731
317	1270	2725
318	1274	2720
319	1277	2714
320	1281	2711
321	1285	2706
322	1288	2700
323	1292	2696
324	1295	2690
325	1298	2685
326	1301	2678
327	1304	2673
328	1307	2667
329	1310	2661
330	1314	2656
331	1317	2650
332	1320	2645
333	1324	2640
334	1327	2635
335	1330	2630
336	1334	2624
337	1337	2619
338	1340	2614
339	1344	2609
340	1347	2603
341	1350	2598
342	1353	2593
343	1357	2588
344	1360	2583
345	1364	2578
346	1367	2573
347	1370	2567
348	1373	2562
349	1376	2556
350	1380	2551
351	1383	2546
352	1386	2541
353	1390	2536
354	1393	2531
355	1396	2526
356	1399	2520
357	1402	2514
358	1406	2510
359	1408	2504
360	1413	2501
361	1416	2496
362	1420	2492
363	1423	2486
364	1426	2482
365	1429	2476
366	1433	2472
367	1437	2468
368	1440	2462
369	1443	2458
370	1446	2452
371	1450	2449
372	1454	2444
373	1458	2440
374	1461	2435
375	1465	2431
376	1468	2426
377	1472	2422
378	1475	2416
379	1478	2413
380	1481	2407
381	1485	2402
382	1488	2397
383	1492	2393
384	1495	2388
385	1499	2384
386	1501	2379
387	1505	2374
388	1507	2368
389	1511	2364
390	1514	2359
