Schooling,Adult Mortality,Income composition of resources, BMI , HIV/AIDS,Diphtheria , thinness  1-19 years,Polio, thinness 5-9 years,GDP,Alcohol,percentage expenditure,Life expectancy 
10.1,263.0,0.479,19.1,0.1,65.0,17.2,6.0,17.3,584.25921,0.01,71.27962362,65.0
10.0,271.0,0.476,18.6,0.1,62.0,17.5,58.0,17.5,612.696514,0.01,73.52358168,59.9
9.9,268.0,0.47,18.1,0.1,64.0,17.7,62.0,17.7,631.744976,0.01,73.21924272,59.9
9.8,272.0,0.463,17.6,0.1,67.0,17.9,67.0,18.0,669.959,0.01,78.1842153,59.5
9.5,275.0,0.454,17.2,0.1,68.0,18.2,68.0,18.2,63.537231,0.01,7.097108703,59.2
9.2,279.0,0.448,16.7,0.1,66.0,18.4,66.0,18.4,553.32894,0.01,79.67936736,58.8
8.9,281.0,0.434,16.2,0.1,63.0,18.6,63.0,18.7,445.8932979,0.01,56.76221682,58.6
8.7,287.0,0.433,15.7,0.1,64.0,18.8,64.0,18.9,373.3611163,0.03,25.87392536,58.1
8.1,295.0,0.405,14.7,0.1,58.0,19.2,58.0,19.3,272.56377,0.03,17.17151751,57.3
7.9,291.0,0.396,14.2,0.1,58.0,19.3,58.0,19.5,25.2941299,0.02,1.388647732,57.3
6.8,293.0,0.381,13.8,0.1,5.0,19.5,5.0,19.7,219.1413528,0.02,15.29606643,57.0
6.5,295.0,0.373,13.4,0.1,41.0,19.7,41.0,19.9,198.7285436,0.01,11.08905273,56.7
6.2,3.0,0.341,13.0,0.1,36.0,19.9,36.0,2.2,187.84595,0.01,16.88735091,56.2
5.9,316.0,0.34,12.6,0.1,33.0,2.1,35.0,2.4,117.49698,0.01,10.5747282,55.3
5.5,321.0,0.338,12.2,0.1,24.0,2.3,24.0,2.5,114.56,0.01,10.42496,54.8
14.2,74.0,0.762,58.0,0.1,99.0,1.2,99.0,1.3,3954.22783,4.6,364.9752287,77.8
14.2,8.0,0.761,57.2,0.1,98.0,1.2,98.0,1.3,4575.763787,4.51,428.7490668,77.5
14.2,84.0,0.759,56.5,0.1,99.0,1.3,99.0,1.4,4414.72314,4.76,430.8769785,77.2
14.2,86.0,0.752,55.8,0.1,99.0,1.3,99.0,1.4,4247.61438,5.14,412.4433563,76.9
13.3,88.0,0.738,55.1,0.1,99.0,1.4,99.0,1.5,4437.17868,5.37,437.0621,76.6
12.5,91.0,0.725,54.3,0.1,99.0,1.4,99.0,1.5,494.358832,5.28,41.82275719,76.2
12.2,91.0,0.721,53.5,0.1,98.0,1.5,98.0,1.6,4114.136545,5.79,348.0559517,76.1
11.6,9.0,0.703,51.7,0.1,98.0,1.6,99.0,1.7,363.13685,5.58,32.24655228,75.9
11.4,99.0,0.696,5.8,0.1,97.0,1.7,97.0,1.8,35.1293,5.31,3.3021542,74.2
10.8,15.0,0.685,49.9,0.1,98.0,1.8,97.0,1.8,279.142931,5.16,26.99312143,73.5
10.9,17.0,0.681,48.9,0.1,97.0,1.8,98.0,1.9,2416.588235,4.54,221.8428,73.0
10.7,18.0,0.674,47.9,0.1,97.0,1.9,97.0,2.0,189.681557,4.29,14.71928882,72.8
10.7,15.0,0.67,46.9,0.1,98.0,2.0,98.0,2.1,1453.642777,3.73,104.5169157,73.3
10.6,14.0,0.662,46.0,0.1,97.0,2.1,97.0,2.1,1326.97339,4.25,96.20557078,73.6
